city,lat,lon,popul,country
Villiers-le-Bel,49.0094,2.3911,27676,France
Montfermeil,48.9,2.5667,26783,France
Begles,44.8086,-0.5478,28601,France
Menton,43.775,7.5,28958,France
Guyancourt,48.7714,2.0739,28633,France
Soissons,49.3817,3.3236,28530,France
Eaubonne,48.9922,2.2806,25097,France
Limeil-Brevannes,48.7464,2.4883,27228,France
Bussy-Saint-Georges,48.8422,2.6983,27379,France
Brunoy,48.6979,2.5044,25669,France
Armentieres,50.6881,2.8811,24882,France
Villeparisis,48.9503,2.6025,26322,France
Cenon,44.8578,-0.5317,24729,France
Saint-Sebastien-sur-Loire,47.2081,-1.5014,26838,France
Taverny,49.0264,2.2275,26441,France
Sevres,48.8239,2.2117,23507,France
Vallauris,43.5805,7.0538,26672,France
Villeneuve-la-Garenne,48.9372,2.3278,23771,France
Bretigny-sur-Orge,48.6114,2.3059,26528,France
Mons-en-Baroeul,50.6369,3.1103,20782,France
Sucy-en-Brie,48.7697,2.5228,26472,France
Saint-Gratien,48.9719,2.2828,20682,France
Vichy,46.1278,3.4267,24166,France
Alencon,48.4306,0.0931,25848,France
Le Bouscat,44.8651,-0.5996,23824,France
Champs-Sur-Marne,48.8529,2.6027,25041,France
Deuil-la-Barre,48.9767,2.3272,22306,France
Elancourt,48.7847,1.9589,25400,France
Le Grand-Quevilly,49.4072,1.0531,25698,France
La Madeleine,50.6558,3.071,21173,France
Bethune,50.5303,2.6408,24895,France
Neuilly-Plaisance,48.8619,2.5064,21150,France
Orly,48.7439,2.3928,23801,France
Cormeilles-en-Parisis,48.9739,2.2014,24161,France
Maisons-Laffitte,48.9469,2.1456,23669,France
La Valette-du-Var,43.1383,5.9831,23884,France
Torcy,48.8502,2.6508,22568,France
Rodez,44.3506,2.575,24057,France
Lormont,44.8792,-0.5217,23538,France
Chaville,48.8086,2.1886,20520,France
Le Petit-Quevilly,49.4311,1.0539,21995,France
Fontaine,45.1939,5.6856,22523,France
Morsang-sur-Orge,48.6618,2.3461,20909,France
Montgeron,48.7039,2.4605,23775,France
Croix,50.6781,3.1508,21041,France
Loos,50.6128,3.0144,22233,France
Longjumeau,48.6943,2.2958,21221,France
Sainte-Foy-les-Lyon,45.73,4.8,22012,France
Montigny-les-Metz,49.1006,6.1539,21819,France
Le Plessis-Trevise,48.8111,2.5717,20130,France
Tassin-la-Demi-Lune,45.764,4.78,22297,France
Montmorency,48.9906,2.3228,21461,France
La Celle-Saint-Cloud,48.8411,2.1344,20966,France
Montigny-les-Cormeilles,48.9944,2.1958,21601,France
Velizy-Villacoublay,48.7834,2.1834,22036,France
Villeneuve-le-Roi,48.7333,2.4167,21384,France
Chilly-Mazarin,48.7025,2.3125,20181,France
Coudekerque-Branche,51.0253,2.3917,21134,France
Mantes-la-Ville,48.975,1.7117,20452,France
Wasquehal,50.6694,3.1308,20479,France
Fleury-les-Aubrais,47.9512,1.8745,21026,France
