city,lat,lon,popul,country
Barsinghausen,52.3031,9.4606,34234,Germany
Wedel,53.5833,9.7,33547,Germany
Ahrensburg,53.6747,10.2411,33472,Germany
Steinfurt,52.1504,7.3366,34084,Germany
Geldern,51.5197,6.3325,33836,Germany
Viernheim,49.538,8.5792,34175,Germany
Goch,51.6839,6.1619,33825,Germany
Deggendorf,48.8353,12.9644,33585,Germany
Uelzen,52.9647,10.5658,33614,Germany
Korschenbroich,51.1833,6.5167,33066,Germany
Rheinfelden (Baden),47.5611,7.7917,33074,Germany
Biberach,48.0981,9.7886,32938,Germany
Bad Nauheim,50.3667,8.75,32163,Germany
Itzehoe,53.925,9.5164,31879,Germany
Julich,50.9222,6.3583,32632,Germany
Lampertheim,49.5942,8.4671,32537,Germany
Bernburg,51.8,11.7333,32674,Germany
Wernigerode,51.835,10.7853,32733,Germany
Forchheim,49.7197,11.0581,32171,Germany
Naumburg,51.1521,11.8098,32402,Germany
Vechta,52.7306,8.2886,32433,Germany
Altenburg,50.985,12.4333,32074,Germany
Hoyerswerda,51.4331,14.25,32123,Germany
Georgsmarienhutte,52.2031,8.0447,31827,Germany
Furstenwalde,52.3667,14.0667,31941,Germany
Achim,53.013,9.033,31911,Germany
Oer-Erkenschwick,51.6422,7.2508,31442,Germany
Delbruck,51.7667,8.5667,31949,Germany
Herrenberg,48.5967,8.8708,31545,Germany
Gevelsberg,51.3265,7.3559,30695,Germany
Haan,51.1931,7.0131,30484,Germany
Radolfzell am Bodensee,47.7369,8.9697,31203,Germany
Weil am Rhein,47.5947,7.6108,30175,Germany
Kreuztal,50.962,8.0064,31187,Germany
Rheinberg,51.5467,6.6006,31097,Germany
Geesthacht,53.4381,10.3747,30551,Germany
Werl,51.5528,7.9139,30772,Germany
Bramsche,52.4089,7.9728,30952,Germany
Schonebeck,52.0167,11.75,30720,Germany
Burgdorf,52.45,10.0083,30699,Germany
Einbeck,51.8167,9.8667,30826,Germany
Neuruppin,52.9222,12.8,30846,Germany
Unterschleissheim,48.2833,11.5667,28907,Germany
Lohmar,50.8415,7.2166,30363,Germany
Ennepetal,51.3021,7.3425,30075,Germany
Riesa,51.3081,13.2939,30054,Germany
Andernach,50.4397,7.4017,29966,Germany
Osterholz-Scharmbeck,53.2269,8.7947,30300,Germany
Taunusstein,50.1435,8.1606,30005,Germany
Gaggenau,48.8039,8.3194,29777,Germany
Bad Hersfeld,50.8683,9.7067,29800,Germany
Friedberg,48.35,10.9833,29810,Germany
Schwedt (Oder),53.0631,14.2831,29920,Germany
Saalfeld,50.6506,11.3542,29457,Germany
Meschede,51.3503,8.2836,29921,Germany
Derne,51.6667,7.6167,29662,Germany
Neuburg,48.7333,11.1833,29682,Germany
Merzig,49.4471,6.6312,29745,Germany
Kelkheim (Taunus),50.138,8.4525,29055,Germany
Waltrop,51.6167,7.3833,29345,Germany
Tonisvorst,51.3208,6.4931,29306,Germany
Schwelm,51.2904,7.2972,28542,Germany
Vaihingen an der Enz,48.9328,8.9564,29467,Germany
Bretten,49.0364,8.7061,29412,Germany
Steinheim am Main,50.1257,8.83,28403,Germany
Friedberg,50.3353,8.755,29180,Germany
Rietberg,51.8,8.4333,29466,Germany
Rendsburg,54.3044,9.6644,28470,Germany
Gustrow,53.7939,12.1764,29241,Germany
Landsberg,48.0528,10.8689,29132,Germany
Oelde,51.8258,8.1436,29326,Germany
Konigsbrunn,48.2689,10.8908,28076,Germany
Rosrath,50.9,7.1833,28693,Germany
Winnenden,48.8764,9.3978,28339,Germany
Northeim,51.7067,10.0011,29107,Germany
Buhl,48.6953,8.135,28900,Germany
Springe,52.2167,9.55,28951,Germany
Schwandorf,49.3236,12.0993,28828,Germany
Hoxter,51.7667,9.3667,28824,Germany
Meissen,51.1636,13.4775,28044,Germany
Zeitz,51.0478,12.1383,27955,Germany
Leichlingen,51.1167,7.0167,28031,Germany
Griesheim,49.8594,8.5525,27435,Germany
Emmendingen,48.1214,7.8492,27882,Germany
Olching,48.2,11.3167,27741,Germany
Idar-Oberstein,49.7019,7.3253,28323,Germany
Reinbek,53.5089,10.2483,27649,Germany
Wegberg,51.1333,6.2667,28175,Germany
Geislingen an der Steige,48.6244,9.8306,28122,Germany
Baunatal,51.2589,9.4183,27750,Germany
Wetter (Ruhr),51.3881,7.395,27441,Germany
Grimma,51.2386,12.7253,28180,Germany
Kevelaer,51.5833,6.25,28021,Germany
Leimen,49.3481,8.6911,26968,Germany
Bad Neuenahr-Ahrweiler,50.5447,7.1133,28251,Germany
Baesweiler,50.9,6.1833,27033,Germany
Sundern,51.3167,8.0,27802,Germany
Neustadt,48.8111,9.3656,26987,Germany
Mechernich,50.6,6.65,27598,Germany
Arnstadt,50.8342,10.9464,27304,Germany
Wiesloch,49.2942,8.6983,26758,Germany
Neckarsulm,49.1917,9.2244,26492,Germany
Geilenkirchen,50.9653,6.1194,27214,Germany
Rheinbach,50.6256,6.9491,27063,Germany
Overath,50.95,7.3,27040,Germany
Aschersleben,51.75,11.4667,27220,Germany
Heiligenhaus,51.3265,6.971,26335,Germany
Schloss Holte-Stukenbrock,51.8833,8.6167,26776,Germany
Wangen im Allgau,47.6858,9.8342,26905,Germany
Hennigsdorf,52.6378,13.2036,26272,Germany
Lohne,52.6667,8.2386,26762,Germany
Teltow,52.4022,13.2706,25825,Germany
Strausberg,52.5808,13.8814,26587,Germany
Lauf,49.5103,11.2772,26515,Germany
Hamminkeln,51.7319,6.5908,26739,Germany
Obertshausen,50.0715,8.8482,24943,Germany
Weiterstadt,49.9,8.6,25975,Germany
Hohen Neuendorf,52.6667,13.2831,26159,Germany
Muhlacker,48.95,8.8392,26076,Germany
Heppenheim,49.6415,8.645,26023,Germany
Nordenham,53.5,8.4667,26193,Germany
Zirndorf,49.45,10.95,25596,Germany
Butzbach,50.4367,8.6622,26197,Germany
Selm,51.6833,7.4833,26011,Germany
Sangerhausen,51.4667,11.3,26297,Germany
Ehingen an der Donau,48.2833,9.7236,26259,Germany
Bad Honnef am Rhein,50.645,7.2269,25816,Germany
Ludwigsfelde,52.2997,13.2667,26112,Germany
Bingen am Rhein,49.9669,7.895,25659,Germany
Schleswig,54.5153,9.5697,25276,Germany
Geretsried,47.8667,11.4667,25275,Germany
Lindau,47.5458,9.6839,25490,Germany
Pfaffenhofen,48.5333,11.5167,25917,Germany
Kulmbach,50.1,11.4333,25915,Germany
Helmstedt,52.2281,11.0106,25728,Germany
Sankt Wendel,49.4667,7.1667,25862,Germany
Friedrichsdorf,50.2569,8.6418,25194,Germany
Achern,48.6314,8.0739,25630,Germany
Lubbecke,52.3081,8.6231,25490,Germany
Roth,49.2461,11.0911,25593,Germany
Verl,51.8831,8.5167,25498,Germany
Gross-Gerau,49.9214,8.4818,25302,Germany
Zittau,50.8961,14.8072,25381,Germany
Pfungstadt,49.8056,8.6044,25151,Germany
Rinteln,52.1906,9.0814,25484,Germany
Ditzingen,48.8264,9.0667,24883,Germany
Lennestadt,51.1236,8.0681,25503,Germany
Rottweil,48.1681,8.6247,25274,Germany
Wiehl,50.95,7.5333,25135,Germany
Plettenberg,51.2128,7.8715,25318,Germany
Rudolstadt,50.7169,11.3275,25115,Germany
Stassfurt,51.8667,11.5667,25385,Germany
Brilon,51.3956,8.5678,25417,Germany
Markkleeberg,51.2778,12.3833,24679,Germany
Harsewinkel,51.9667,8.2331,25147,Germany
Meckenheim,50.6333,7.0167,24684,Germany
Horb am Neckar,48.445,8.6911,25135,Germany
Norden,53.5967,7.2056,25060,Germany
Salzkotten,51.6708,8.6047,25062,Germany
Petershagen,52.3833,8.9667,25168,Germany
Sprockhovel,51.3614,7.244,24747,Germany
Bad Oldesloe,53.8117,10.3742,24744,Germany
Idstein,50.2206,8.2692,24897,Germany
Delitzsch,51.5264,12.3425,24868,Germany
Eisenhuttenstadt,52.145,14.6728,24633,Germany
Ubach-Palenberg,50.9197,6.1194,24081,Germany
Warstein,51.45,8.3667,24842,Germany
Ronnenberg,52.3194,9.6556,24347,Germany
Espelkamp,52.3772,8.6328,24685,Germany
Olpe,51.0289,7.8514,24688,Germany
Schmallenberg,51.1333,8.3,24869,Germany
Ludinghausen,51.7681,7.4444,24590,Germany
Ohringen,49.2,9.5,24374,Germany
Hannoversch Munden,51.4167,9.65,24467,Germany
Meiningen,50.55,10.4167,24233,Germany
Attendorn,51.1264,7.9033,24367,Germany
Syke,52.9161,8.8186,24355,Germany
Waldshut-Tiengen,47.6231,8.2144,24226,Germany
Waldkraiburg,48.2167,12.4,23442,Germany
Rathenow,52.6,12.3333,24309,Germany
Limbach-Oberfrohna,50.8667,12.75,24029,Germany
Senftenberg,51.5167,14.0167,24275,Germany
Bad Soden am Taunus,50.1424,8.4997,22645,Germany
Varel,53.3969,8.1361,24001,Germany
Quedlinburg,51.7917,11.1472,23989,Germany
Sonneberg,50.35,11.1667,23830,Germany
Dobeln,51.1194,13.1128,23829,Germany
Husum,54.4769,9.0511,23158,Germany
Calw,48.7144,8.7375,23590,Germany
Haren,52.7667,7.2167,23829,Germany
Bad Mergentheim,49.5,9.7667,23704,Germany
Starnberg,47.9972,11.3406,23498,Germany
Bedburg,51.0,6.5625,23531,Germany
Mosbach,49.35,9.1333,23398,Germany
Korbach,51.2719,8.8731,23581,Germany
Herdecke,51.4,7.4333,22733,Germany
Salzwedel,52.85,11.15,23655,Germany
Freudenstadt,48.4633,8.4111,23442,Germany
Juchen,51.1011,6.5017,23337,Germany
Dillenburg,50.7333,8.2833,23365,Germany
Sehnde,52.3161,9.9642,23389,Germany
Herzogenaurach,49.5667,10.8833,23126,Germany
Gelnhausen,50.2027,9.1905,23073,Germany
Netphen,50.9147,8.1,23130,Germany
Puchheim,48.15,11.35,21531,Germany
Eschborn,50.1437,8.569,21488,Germany
Senden,48.3167,10.0667,22336,Germany
Warburg,51.4881,9.14,23079,Germany
Walsrode,52.8592,9.5853,23068,Germany
Gersthofen,48.4167,10.8667,22473,Germany
Wertheim,49.75,9.5167,22780,Germany
Uberlingen,47.7667,9.1583,22554,Germany
Neusass,48.4,10.8333,22058,Germany
Leutkirch im Allgau,47.8256,10.0222,22803,Germany
Eckernforde,54.4742,9.8378,21902,Germany
Westerstede,53.25,7.9167,22778,Germany
Lengerich,52.175,7.8667,22641,Germany
Weilheim,47.8333,11.1333,22477,Germany
Glauchau,50.8233,12.5444,22440,Germany
Vreden,52.0331,6.8331,22641,Germany
Bad Kissingen,50.2,10.0667,22444,Germany
Kaltenkirchen,53.8397,9.9603,21813,Germany
Donaueschingen,47.9531,8.5033,22526,Germany
Metzingen,48.5367,9.2858,22046,Germany
Laupheim,48.2289,9.8797,22298,Germany
Nagold,48.5519,8.7256,22294,Germany
Karben,50.2322,8.7681,22127,Germany
Stadthagen,52.3247,9.2069,22247,Germany
Burg,52.2725,11.855,22478,Germany
Friesoythe,53.0206,7.8586,22456,Germany
Radevormwald,51.2,7.35,22107,Germany
Florsheim,50.0117,8.4281,21572,Germany
Apolda,51.0247,11.5139,22012,Germany
Gardelegen,52.5264,11.3925,22402,Germany
Schwetzingen,49.3833,8.5667,21433,Germany
Hockenheim,49.3181,8.5472,21779,Germany
Heide,54.1961,9.0933,21684,Germany
Spremberg,51.5717,14.3794,22175,Germany
Bad Harzburg,51.8828,10.5617,21945,Germany
Waldkirch,48.0939,7.9608,21809,Germany
Kitzingen,49.7333,10.1667,21704,Germany
Eislingen,48.6933,9.7067,20885,Germany
Budingen,50.2908,9.1125,21959,Germany
Eppingen,49.1333,8.9167,21819,Germany
Sonthofen,47.5142,10.2817,21541,Germany
Elsdorf,50.9333,6.5667,21663,Germany
Xanten,51.6622,6.4539,21690,Germany
Seligenstadt,50.0441,8.9753,21293,Germany
Halle,52.0608,8.3597,21640,Germany
Osterode,51.7286,10.2522,21731,Germany
Quickborn,53.7333,9.8972,21296,Germany
Germersheim,49.2167,8.3667,20779,Germany
Stadtallendorf,50.8333,9.0167,21456,Germany
Versmold,52.0436,8.15,21468,Germany
Zerbst,51.9681,12.0844,21657,Germany
Bad Rappenau,49.2389,9.1028,21398,Germany
Wulfrath,51.2833,7.0333,21035,Germany
Aichach,48.45,11.1333,21434,Germany
