city,lat,lon,popul,country
Rakhiv,48.05,24.2167,15621,Ukraine
Novo-Voznesenovka,48.0731,39.7972,15659,Ukraine
Bohodukhiv,50.1608,35.5164,15576,Ukraine
Bilopillya,51.1532,34.3025,15215,Ukraine
Burshtyn,49.26,24.635,15039,Ukraine
Tul'chyn,48.6744,28.8497,15051,Ukraine
Vil'nyans'k,47.9445,35.4331,15044,Ukraine
Ochakiv,46.6186,31.5392,14705,Ukraine
Hulyaypole,47.6644,36.2632,14678,Ukraine
Radomyshl,50.4947,29.2333,14607,Ukraine
Orikhiv,47.5677,35.7849,14479,Ukraine
Hola Prystan',46.5167,32.5167,14479,Ukraine
Zolote,48.6833,38.5167,14376,Ukraine
Lebedyn,50.5831,34.4823,14301,Ukraine
Kivertsi,50.8331,25.4614,14195,Ukraine
Zhovkva,50.0667,23.9667,13834,Ukraine
Zhashkiv,49.25,30.1,13853,Ukraine
Horodyshche,49.2925,31.4581,13799,Ukraine
Apostolove,47.6595,33.717,13792,Ukraine
Tal'ne,48.8863,30.7027,13558,Ukraine
Kaharlyk,49.8522,30.8092,13544,Ukraine
Vasylivka,47.4344,35.2808,13166,Ukraine
Yavoriv,49.9469,23.3931,13057,Ukraine
Izyum,49.2238,37.2915,13108,Ukraine
Tetiyiv,49.3708,29.69,13015,Ukraine
Rozhyshche,50.9131,25.27,12953,Ukraine
Bershad',48.3728,29.5325,12795,Ukraine
Kam'yanka-Dniprovs'ka,47.4792,34.4232,12638,Ukraine
Shchastia,48.7381,39.2311,12629,Ukraine
Vakhrusheve,48.1606,38.8389,12197,Ukraine
Buchach,49.0647,25.3872,12511,Ukraine
Kamin'-Kashyrs'kyy,51.6242,24.9606,12489,Ukraine
Hnivan',49.0833,28.35,12433,Ukraine
Beryslav,46.8333,33.4167,12417,Ukraine
Uzyn,49.8242,30.4425,12147,Ukraine
Ukrainsk,48.1,37.3667,11824,Ukraine
Baranivka,50.3,27.6667,11765,Ukraine
Nemyriv,48.9794,28.8439,11697,Ukraine
Prymors'k,46.7333,36.3596,11679,Ukraine
Mena,51.5167,32.2167,11670,Ukraine
Mala Vyska,48.65,31.6333,11614,Ukraine
Kalmiuske,47.6667,38.0667,11603,Ukraine
Lokhvytsya,50.361,33.2652,11485,Ukraine
Myronivka,49.65,30.9833,11478,Ukraine
Snovsk,51.8167,31.95,11390,Ukraine
Illintsi,49.1,29.2,11270,Ukraine
Zhydachiv,49.3833,24.1333,10962,Ukraine
Bobrynets',48.0578,32.1581,10898,Ukraine
Hrebinka,50.118,32.4396,10805,Ukraine
Khrystynivka,48.8333,29.9667,10762,Ukraine
Inkerman,44.6142,33.6083,10196,Ukraine
Shcholkine,45.4236,35.8186,10593,Ukraine
Bolekhiv,49.0669,23.8514,10476,Ukraine
Lyuboml',51.2158,24.0408,10466,Ukraine
Olevsk,51.2278,27.6481,10457,Ukraine
Verkhn'odniprovs'k,48.6561,34.3283,10314,Ukraine
Oster,50.9486,30.8811,10245,Ukraine
Radyvyliv,50.1333,25.25,10190,Ukraine
Tarashcha,49.55,30.5,10195,Ukraine
Borzna,51.2333,32.4167,10205,Ukraine
Snyatyn,48.45,25.5667,9942,Ukraine
Pereshchepyne,49.0179,35.3598,9931,Ukraine
Zin'kiv,50.2081,34.3668,9856,Ukraine
Kobelyaky,49.1474,34.1993,9841,Ukraine
Berezivka,47.2039,30.9125,9845,Ukraine
Khodoriv,49.41,24.3094,9605,Ukraine
